Borough,CensusTract,MeanCommute,Transit,Income,Poverty,Unemployment,WorkAtHome
Manhattan,36061004700,23.7,55.7,101786,11.2,5.1,8.3
Manhattan,36061005000,23.6,58.2,102723,8.0,10.4,2.9
Manhattan,36061009500,22.1,39.3,145956,13.7,8.4,13.6
Manhattan,36061009800,24.6,42.8,122331,4.1,2.9,6.0
Manhattan,36061020800,36.4,70.8,42220,25.6,11.0,6.3
Manhattan,36061017402,31.6,66.4,37426,29.1,13.6,7.3
Manhattan,36061018700,31.5,60.4,110385,12.0,5.3,9.1
Manhattan,36061018900,35.7,75.7,28158,36.0,16.5,2.2
Manhattan,36061021000,39.7,80.5,29811,34.5,11.8,3.3
Manhattan,36061022500,38.4,73.9,48157,27.2,12.2,6.2
Manhattan,36061024301,41.3,69.5,38067,32.5,18.4,9.3
Manhattan,36061024302,44.9,68.6,20371,42.6,29.7,4.8
Manhattan,36061027300,40.3,68.0,74621,17.0,11.6,10.1
Manhattan,36061028700,41.6,74.5,46891,26.7,10.2,3.0
Manhattan,36061030900,38.7,60.0,27513,30.4,13.2,4.5
Manhattan,36061004000,30.3,63.2,85338,13.0,4.1,6.8
Manhattan,36061002601,33.4,59.5,43854,25.6,8.4,1.5
Manhattan,36061002602,30.7,42.4,70037,14.2,2.8,3.8
Manhattan,36061010400,28.7,34.7,111806,7.9,6.2,15.9
Manhattan,36061011900,16.5,23.9,11671,55.5,12.9,15.6
Manhattan,36061013200,33.3,58.9,78647,7.0,3.9,2.6
Manhattan,36061013400,27.0,59.4,97801,14.3,4.6,3.6
Manhattan,36061013600,31.5,58.2,108587,3.1,4.3,6.2
Manhattan,36061014402,33.9,58.8,117656,5.4,3.8,11.1
Manhattan,36061014801,29.4,66.7,167667,4.4,3.0,6.2
Manhattan,36061015700,28.3,63.9,122734,6.5,3.7,12.8
Manhattan,36061015801,29.1,61.9,136750,4.8,6.1,9.3
Manhattan,36061016100,29.5,65.3,126727,2.8,4.1,3.9
Manhattan,36061016400,36.9,66.2,33493,24.1,11.1,1.2
Manhattan,36061019600,35.6,80.2,19045,37.3,9.2,5.2
Manhattan,36061018000,34.6,79.1,31842,25.7,10.9,1.3
Manhattan,36061018500,35.8,71.8,91776,7.2,8.0,9.6
Manhattan,36061019000,34.9,78.0,58750,17.7,4.8,4.0
Manhattan,36061019300,30.1,71.6,32236,32.1,12.0,0.0
Manhattan,36061019400,32.2,70.6,27273,54.5,9.7,4.0
